id,lane,domain,rating,recommended,source_jsonl,source_line_1_based,source_record_sha256,tool_sequence,question,session_dir
A1_table_survey_row,01_chart_table,Table,5,True,Table_5k.jsonl,732,4cd9bfa508f2f3e7753bd73dc98f6eb493ac9ab07cfbcc91a6bf02c70f12ff9e,enhance_contrast -> crop,Which organization conducted the survey in 2020?,/mnt/afs_reason/xiangchanghao/Sensetime/nanobot_for_distill/workspaces/qwen35plus/CoSyn-400K/session_68390
A2_chart_sunburst_regions,01_chart_table,Chart,5,True,Chart_14k.jsonl,8420,5f4521924effae5a7d41da6feb8f6a74813eb3f85fa38a992b1c6689f6133967,read_file -> crop -> crop -> crop,What is the combined absolute market share of the most prominent product in each of the three largest product categories?,/mnt/afs_reason/xiangchanghao/Sensetime/nanobot_for_distill/workspaces/qwen35plus/ChartVerse-SFT-qwen35-9b_filtered/session_47228
A3_chart_enrollment_subplots,01_chart_table,Chart,4,False,Chart_14k.jsonl,1889,41c3471d7fca9ed115472590c274c5ce72b479312f25ee1846ace32c7c5f7f6a,write_file -> crop -> crop -> exec,What fraction of the average History enrollment level does the average increase in Computer Science enrollment represent when comparing monthly to yearly trends?,/mnt/afs_reason/xiangchanghao/Sensetime/nanobot_for_distill/workspaces/qwen35plus/ChartVerse-SFT-qwen35-9b_filtered/session_7219
A4_table_social_metrics,01_chart_table,Table,4,False,Table_5k.jsonl,878,c99cc0c8c3d92bdc1458743ef17ed642d0219d21b9f07055ad5397e5c52813d8,crop -> crop,True or False: There were more retweets than posts on Facebook.,/mnt/afs_reason/xiangchanghao/Sensetime/nanobot_for_distill/workspaces/qwen35plus/CoSyn-400K/session_47648
B1_gui_calendar_button,02_gui_visual_search,GUI Grounding,5,True,GUI-Grounding_11k.jsonl,816,a0b3f1b98a5b170fc65a90d37690ef4d15bda9cc00d587f3ff3508230c50c813,crop -> draw_bbox -> computer_use,"Click on the ""Edit Details..."" button to access the detailed event configuration settings where the date, time, reminders, and notes can be properly configured.",/mnt/afs_reason/xiangchanghao/Sensetime/nanobot_for_distill/workspaces/qwen35plus/AgentNet_ubuntu/session_2754
B2_search_dog_scarf,02_gui_visual_search,Visual Search,5,True,VisualSearch_2k.jsonl,1823,b847b6c524313ed041ea22ea4812827519243acce95198ceec4836a3d222965a,crop -> crop,What does it say on the scarf around the dog's neck in the lower middle of the picture?,/mnt/afs_reason/xiangchanghao/Sensetime/nanobot_for_distill/workspaces/qwen35plus/Vero-600k-visual-search/session_6885
B3_search_teacup_count,02_gui_visual_search,Visual Search,5,False,VisualSearch_2k.jsonl,1035,46171a2eb43d993e996a6d4a6db29d645719f56f1dde45ad1ae0a935fe21ab1c,crop -> crop -> draw_bbox,How many white tea cups are there on the coffee table?,/mnt/afs_reason/xiangchanghao/Sensetime/nanobot_for_distill/workspaces/qwen35plus/Vero-600k-visual-search/session_4729
B4_gui_center_alignment,02_gui_visual_search,GUI Grounding,4,False,GUI-Grounding_11k.jsonl,240,508d97ae96a699fb6845a584f1f402cdb2dd19d9cd31c7491a566a90d766f55f,crop -> draw_bbox -> computer_use,Click on the center alignment button in the formatting toolbar to center the text in the document.,/mnt/afs_reason/xiangchanghao/Sensetime/nanobot_for_distill/workspaces/qwen35plus/AgentNet_ubuntu/session_931
B5_search_water_bottles,02_gui_visual_search,Visual Search,5,False,VisualSearch_2k.jsonl,1915,1464cd774feb74d8c7b08430762518988cc44fbb31680a9836753e16d247f45f,crop -> draw_bbox,How many bottles of mineral water are there on the mini bar counter on the left side of the center of the picture?,/mnt/afs_reason/xiangchanghao/Sensetime/nanobot_for_distill/workspaces/qwen35plus/Vero-600k-visual-search/session_7359
C1_web_tech_company,03_web_to_html,Web-to-HTML,5,True,VinciCoder_11k.jsonl,908,fdf30ba0ca7e5b8201dcfbffe3bdf7c0a19f8aa0050fce6abc0277c1c5e47f24,read_file -> write_file -> render_html -> edit_file -> edit_file -> edit_file -> edit_file -> render_html -> edit_file -> render_html -> read_file,"You are an expert web developer who specializes in HTML and CSS. A user will provide you with a screenshot of a webpage. You need to return a single HTML file that uses HTML and CSS to reproduce the given website. Include all CSS code in the HTML file itself. If it involves any images, use ""rick.jpg"" as the placeholder. Some images on the webpage are replaced with a blue rectangle as the placeholder, and use ""rick.jpg"" for those as well. Do not hallucinate any dependencies on external files. You do not need to include JavaScript scripts for dynamic interactions. Pay attention to things like size, text, position, and color of all the elements, as well as the overall layout. Respond with the content of the HTML+CSS file:",/mnt/afs_reason/xiangchanghao/Sensetime/nanobot_for_distill/workspaces/qwen35plus/VinciCoder/session_14149
